composite_error,center_error,pva_magnitude,circular_std,cwce,angular_Zscore,nmse,error_message,sigma_exc,sigma_inh,g_exc,g_inh
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.5 mV,-0.825 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.5 mV,-1. mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.5 mV,-0.65 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.5 mV,-0.475 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.5 mV,-300. uV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.625 mV,-1. mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.625 mV,-0.825 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.625 mV,-0.65 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.625 mV,-0.475 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.75 mV,-1. mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.75 mV,-0.825 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.625 mV,-300. uV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.75 mV,-0.65 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.75 mV,-300. uV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.875 mV,-1. mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.75 mV,-0.475 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.875 mV,-0.825 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.875 mV,-0.65 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.875 mV,-0.475 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,0.875 mV,-300. uV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,1. mV,-1. mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,1. mV,-0.825 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,1. mV,-0.65 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,1. mV,-0.475 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.1,1. mV,-300. uV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.5 mV,-1. mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.5 mV,-0.65 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.5 mV,-0.825 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.5 mV,-0.475 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.5 mV,-300. uV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.625 mV,-1. mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.625 mV,-0.825 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.625 mV,-0.65 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.625 mV,-0.475 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.75 mV,-1. mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.625 mV,-300. uV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.75 mV,-0.825 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.75 mV,-0.65 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.75 mV,-0.475 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.75 mV,-300. uV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.875 mV,-1. mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.875 mV,-0.825 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.875 mV,-0.65 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.875 mV,-0.475 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,0.875 mV,-300. uV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,1. mV,-1. mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,1. mV,-0.65 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,1. mV,-0.825 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,1. mV,-0.475 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,1. mV,-300. uV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.2,0.1,0.5 mV,-1. mV
0.08050969457452922,0.007455108453830794,0.9640780489345417,0.27049219453182505,0.007732888830671932,0.027561270175408537,0.14535514778049186,,0.2,0.1,0.5 mV,-0.825 mV
0.012071034782890119,0.0007837333959026527,0.910197683782456,0.4338051570715384,0.0008610584285769139,0.0018066484068408803,0.022902775145897735,,0.2,0.1,0.5 mV,-0.65 mV
0.04511434336545851,0.0005256077493263067,0.8804441683408857,0.504636008896953,0.0005969802086905328,0.0010415581529253021,0.08945387534453259,,0.2,0.1,0.5 mV,-0.475 mV
0.08632334080517282,0.002707848695121529,0.8520697714604104,0.5658389388936598,0.0031779658826538767,0.004785546750133478,0.16882568338069992,,0.2,0.1,0.5 mV,-300. uV
0.010111052184008738,0.0030889183978561885,0.9125740092167469,0.42775245146096513,0.003384841484428163,0.007221275733911416,0.01530268918379601,,0.2,0.1,0.625 mV,-1. mV
0.04625315348846017,0.00823850655218572,0.877222222788668,0.5118494262637544,0.009391584303552943,0.01609556664412562,0.08043312973713833,,0.2,0.1,0.625 mV,-0.825 mV
